ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija 
"TRZIN, SOSESKA T3 - BLOKI",Prodaja,Garaža,Parkirno mesto,2000,,18.0,12500.0,Zasebna ponudba
"TRZIN, T3",Prodaja,Stanovanje,štirisobno,2000,,85.5,235000.0,Zasebna ponudba
TRŽIČ,Prodaja,Stanovanje,enosobno,1900,,35.0,42000.0,Afirmacija d.o.o.
TRŽIČ,Prodaja,Stanovanje,enosobno,1900,,39.6,42000.0,Oaza nepremičnine d.o.o.
TRŽIČ,Prodaja,Vikend,Lesen,1986,1826.0,40.0,35000.0,Oaza nepremičnine d.o.o.
TRŽIČ,Prodaja,Stanovanje,enosobno,1900,,43.6,29990.0,Oaza nepremičnine d.o.o.
TRŽIČ,Prodaja,Stanovanje,dvosobno,1902,,47.8,85000.0,Nepremičnina posredovanje d.o.o.
TRŽIČ,Prodaja,Stanovanje,dvosobno,1964,,48.0,90000.0,Zasebna ponudba
TRŽIČ,Prodaja,Stanovanje,enoinpolsobno,1899,,49.5,38000.0,Nepremičnina posredovanje d.o.o.
TRŽIČ,Prodaja,Stanovanje,trisobno,2013,47.0,54.0,128000.0,"ALTERA, d.o.o."
TRŽIČ,Prodaja,Hiša,Samostojna,1947,306.0,70.0,120000.0,Nepremičnine Kranj d.o.o.
TRŽIČ,Prodaja,Poslovni prostor,Prostor za storitve,1800,,70.3,39000.0,Oaza nepremičnine d.o.o.
TRŽIČ,Prodaja,Poslovni prostor,Gostinski lokal,2006,,91.0,175000.0,Bole13 d.o.o.
TRŽIČ,Prodaja,Stanovanje,trisobno,1921,,92.5,85000.0,MP PROJEKT d.o.o.
TRŽIČ,Prodaja,Hiša,Dvojček,2013,250.0,140.0,138000.0,"ALTERA, d.o.o."
TRŽIČ,Prodaja,Hiša,Dvojček,2014,300.0,140.0,199000.0,"ALTERA, d.o.o."
TRŽIČ,Prodaja,Stanovanje,štirisobno,1890,89.0,150.0,155000.0,LJUBLJANA NEPREMIČNINE d.o.o.
TRŽIČ,Prodaja,Hiša,Samostojna,1860,908.0,336.0,140000.0,K 3 Kern d.o.o.
TRŽIČ,Prodaja,Počitniški objekt,Drugo,1890,603.0,659.55,410000.0,Heta Asset Resolution d.o.o.
TRŽIČ,Prodaja,Poslovni prostor,Skladišče,2012,,735.0,298000.0,K 3 Kern d.o.o.
TRŽIČ,Prodaja,Hiša,Samostojna,1999,18768.0,856.0,1700000.0,"Aeon nepremičnine, d.o.o., Century 21 Emona"
TRŽIČ,Prodaja,Hiša,Samostojna,1999,18768.0,856.0,1850000.0,DOM REAL d.o.o.
"TRŽIČ, BISTRICA",Prodaja,Stanovanje,trisobno,1993,,83.1,170000.0,Gros inženiring d.o.o.
"TRŽIČ, BISTRICA PRI TRŽIČU",Prodaja,Stanovanje,trisobno,1995,,63.4,115000.0,Gros inženiring d.o.o.
"TRŽIČ, BIVŠI BPT",Prodaja,Poslovni prostor,Delavnica,1949,1187.0,1100.0,600.0,"AJP d.o.o., Kranj"
"TRŽIČ, BLIZU CENTRA",Prodaja,Stanovanje,dvosobno,1902,,47.8,85000.0,Gros inženiring d.o.o.
"TRŽIČ, BLIŽNJA OKOLICA",Prodaja,Stanovanje,trisobno,1999,,78.6,118000.0,Nepremičnina posredovanje d.o.o.
"TRŽIČ, CANKARJEVA",Prodaja,Stanovanje,dvosobno,1959,,46.5,64000.0,Gros inženiring d.o.o.
"TRŽIČ, CANKARJEVA CESTA",Prodaja,Hiša,Samostojna,2012,,100.0,120000.0,Zasebna ponudba
"TRŽIČ, CANKARJEVA CESTA 13",Prodaja,Stanovanje,garsonjera,1961,,10.6,10091.2,Občina Tržič
"TRŽIČ, CENTER",Prodaja,Stanovanje,enosobno,2015,,32.0,50000.0,Zasebna ponudba
"TRŽIČ, CENTER",Prodaja,Stanovanje,dvosobno,1902,,48.0,85000.0,Zasebna ponudba
"TRŽIČ, CENTER",Prodaja,Stanovanje,dvosobno,2004,,57.0,80000.0,Zasebna ponudba
"TRŽIČ, CENTER",Prodaja,Stanovanje,dvosobno,1500,,61.1,57000.0,Nepremičnina posredovanje d.o.o.
"TRŽIČ, CENTER",Prodaja,Stanovanje,trisobno,1450,,81.2,75000.0,Gros inženiring d.o.o.
"TRŽIČ, CENTER",Prodaja,Stanovanje,štirisobno,1890,,150.29,139000.0,K 3 Kern d.o.o.
"TRŽIČ, CENTER MESTA",Prodaja,Poslovni prostor,Prostor za storitve,1887,,57.8,44000.0,Afirmacija d.o.o.
"TRŽIČ, DETELJICA",Prodaja,Poslovni prostor,Gostinski lokal,1978,,170.2,250000.0,K 3 Kern d.o.o.
"TRŽIČ, DETELJICA 7",Prodaja,Stanovanje,trisobno,1977,,80.6,103490.0,Občina Tržič
"TRŽIČ, KOROŠKA CESTA",Prodaja,Hiša,Samostojna,1994,961.0,250.0,330000.0,Zasebna ponudba
"TRŽIČ, KRIŽE",Prodaja,Poslovni prostor,Delavnica,1935,253.0,120.0,69000.0,Gros inženiring d.o.o.
"TRŽIČ, LOM POD STORŽIČEM",Prodaja,Hiša,Samostojna,1930,59.0,136.0,125000.0,Afirmacija d.o.o.
"TRŽIČ, NASELJE ZALI ROVT",Prodaja,Stanovanje,dvosobno,1993,,88.0,117000.0,Zasebna ponudba
"TRŽIČ, OB TRGOVSKEM CENTRU MERCATOR",Prodaja,Poslovni prostor,Prostor za storitve,1967,,230.0,105000.0,Afirmacija d.o.o.
"TRŽIČ, PARTIZANSKA CESTA",Prodaja,Stanovanje,trisobno,1958,,54.0,79500.0,Zasebna ponudba
"TRŽIČ, PODLJUBELJ",Prodaja,Vikend,Lesen,1990,740.0,20.0,48000.0,Gros inženiring d.o.o.
"TRŽIČ, PRI ZDRAVSTVENEM DOMU",Prodaja,Stanovanje,dvosobno,1924,,38.9,25000.0,Afirmacija d.o.o.
"TRŽIČ, RAVNE",Prodaja,Stanovanje,dvosobno,1955,,57.3,75000.0,Nepremičnina posredovanje d.o.o.
"TRŽIČ, RAVNE",Prodaja,Stanovanje,dvosobno,1959,,57.3,75000.0,Zasebna ponudba
"TRŽIČ, SEBENJE",Prodaja,Hiša,Samostojna,2007,180.0,140.0,149000.0,Oaza nepremičnine d.o.o.
"TRŽIČ, STARO MESTNO JEDRO",Prodaja,Stanovanje,trisobno,1450,,81.2,75000.0,Koncepti d.o.o.
"TRŽIČ, STROGI CENTER, TRG SVOBODE",Prodaja,Poslovni prostor,Drugo,1966,,30.0,19000.0,"Bamba nepremičnine, Tanko Franc s.p."
"TRŽIČ, ZALI ROVT",Prodaja,Hiša,Dvojček,2014,350.0,135.0,235000.0,Afirmacija d.o.o.
"TRŽIČ, ZALI ROVT",Prodaja,Hiša,Dvojček,2014,362.0,140.0,269000.0,Afirmacija d.o.o.
TRŽIŠČE,Prodaja,Hiša,Samostojna,2010,1900.0,100.0,250000.0,Zasebna ponudba
TRŽIŠČE,Prodaja,Hiša,Samostojna,1953,1456.0,200.0,250000.0,Mezanin nepremičnine d.o.o.
TUBLJE PRI HRPELJAH,Prodaja,Hiša,Samostojna,1917,2162.0,372.5,235000.0,Adria nepremičnine d.o.o.
TUBLJE PRI HRPELJAH,Prodaja,Hiša,Samostojna,1993,1111.0,419.0,250000.0,Urbanistika d.o.o.
TULJAKI,Prodaja,Hiša,Vrstna,1900,232.0,108.0,69000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Obala"
"TULJAKI, CENTER VASICE",Prodaja,Hiša,Vrstna,1950,232.0,108.6,85000.0,"Svetilnik nepremičnine, Darija Levanić-Vidmar s.p."
TUNJICE,Prodaja,Hiša,Samostojna,1881,13731.0,161.0,278000.0,"Think Slovenia, TS1 d.o.o."
TUPALIČE,Prodaja,Hiša,Samostojna,1993,1226.0,245.0,399000.0,Novi list d.o.o.
TUPALIČE,Prodaja,Hiša,Samostojna,1976,893.0,285.0,208000.0,Makler Bled d.o.o.
TUPALIČE,Prodaja,Hiša,Samostojna,1900,2280.0,335.3,190000.0,Media nepremičnine d.o.o.
"TUPELČE, ŠTANJEL OKOLICA",Prodaja,Hiša,Dvojček,1913,566.0,135.0,55000.0,"Ruj Nepremičnine, Jernej Suša, s.p."
TURJAK,Prodaja,Hiša,Samostojna,1940,2958.0,115.0,145000.0,NNRN nepremičnine d.o.o. Novo mesto
TURJAK,Prodaja,Hiša,Samostojna,2017,420.0,160.0,119000.0,"Aeon nepremičnine, d.o.o., Century 21 Emona"
"TURJAK, LJ. OKOLICA, VELIKE LAŠČE",Prodaja,Hiša,Samostojna,1871,12535.0,411.0,257000.0,Studio modul d.o.o.
TURNIŠČE,Prodaja,Hiša,Samostojna,1967,504.0,100.0,45000.0,Zasebna ponudba
TURNIŠČE,Prodaja,Hiša,Samostojna,1922,552.0,125.0,80000.0,Zasebna ponudba
TURNIŠČE,Prodaja,Poslovni prostor,Gostinski lokal,1937,468.0,268.2,137000.0,"ASPI nepremičnine, posredovanje in storitve d.o.o."
TURNIŠČE,Prodaja,Poslovni prostor,Gostinski lokal,1980,1152.0,290.0,75000.0,Prima vista d.o.o.
TURNIŠČE,Prodaja,Hiša,Samostojna,1970,1700.0,348.0,125000.0,Prima vista d.o.o.
TURNIŠČE,Prodaja,Hiša,Samostojna,1970,1700.0,348.0,125000.0,"Think Slovenia, TS1 d.o.o."
"TURNIŠČE, BLIZU ŠOLE",Prodaja,Hiša,Samostojna,1902,740.0,85.5,16500.0,Dom M5 d.o.o.
UDJE,Prodaja,Hiša,Samostojna,1978,22000.0,170.0,210000.0,"Ažur Trading, d.o.o."
UGOVEC,Prodaja,Hiša,Samostojna,1995,11261.0,160.0,100000.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o."
UKANC,Prodaja,Poslovni prostor,Gostinski lokal,1964,206.0,412.0,650000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
"UKANJE, BRITOF - NA MEJI Z ITALIJO",Prodaja,Hiša,Drugo,1850,2931.0,141.0,95000.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
"ULAKA, BLOKE, PRI SV. TROJICI",Prodaja,Hiša,Samostojna,1900,784.0,99.8,81000.0,"RESTATE nepremičnine, Dinka Martinčić s.p., PE Center"
UNEC,Prodaja,Hiša,Samostojna,2018,1010.0,294.0,260000.0,Bidom d.o.o.
"UNEC, 244",Prodaja,Hiša,Samostojna,2008,600.0,170.0,144900.0,Zasebna ponudba
URŠNA SELA,Prodaja,Vikend,Zidan,1925,1705.0,79.2,7000.0,NNRN nepremičnine d.o.o. Novo mesto
URŠNA SELA,Prodaja,Hiša,Samostojna,1850,10974.0,310.0,50000.0,NNRN nepremičnine d.o.o. Novo mesto
"URŠNA SELA, LJUBEN",Prodaja,Vikend,Bivalen,1975,840.0,28.0,22000.0,Zasebna ponudba
"URŠNA SELA, LJUBEN",Prodaja,Vikend,Bivalen,2005,643.0,83.0,74000.0,Kapitelj nepremičnine d.o.o.
"URŠNA SELA, LJUBEN",Prodaja,Vikend,Bivalen,1972,1838.0,87.9,67000.0,"Nepremičnine in svetovanje Juršič, Blaž Juršič s.p."
"URŠNA SELA, LJUBEN",Prodaja,Vikend,Zidan,2001,4834.0,132.0,95000.0,Kapitelj nepremičnine d.o.o.
"URŠNA SELA, NOVO MESTO, LJUBEN",Prodaja,Vikend,Bivalen,1992,1400.0,84.0,58000.0,Nepis d.o.o.
"URŠNA SELA, STARI LJUBEN",Prodaja,Vikend,Zidan,1938,1000.0,34.5,12500.0,"Nepremičninska družba d.o.o., PE RE/MAX Vogal"
"URŠNA SELA, STARI LJUBEN",Prodaja,Vikend,Zidan,2012,2773.0,128.3,68000.0,"Nepremičnine in svetovanje Juršič, Blaž Juršič s.p."
USTJE,Prodaja,Hiša,Vrstna,1700,672.0,200.0,45000.0,Svet Real d.o.o.
UTIK,Prodaja,Hiša,Samostojna,2019,720.0,170.0,283000.0,Mreža nepremičnin d.o.o.
UTIK,Prodaja,Hiša,Samostojna,2006,895.0,307.0,490000.0,Roni nepremičnine d.o.o.
"UTIK, NOVO NASELJE",Prodaja,Stanovanje,štirisobno,2005,680.0,133.9,160000.0,Zasebna ponudba
"UTIK, OKOLICA",Prodaja,Hiša,Samostojna,1973,700.0,118.0,169000.0,KU-MI nepremičnine d.o.o.
UTOVLJE,Prodaja,Hiša,Samostojna,1805,72.0,115.0,69000.0,Trobec d.o.o.
"UZMANI, 30 KM 40 MIN OD LJ.",Prodaja,Vikend,Bivalen,1928,780.0,62.0,55000.0,Zasebna ponudba
VAČE,Prodaja,Hiša,Dvostanovanjska,2016,10.0,40.0,27000.0,Zasebna ponudba
VAČE,Prodaja,Hiša,Samostojna,1985,774.0,147.6,169000.0,ABC nepremičnine d.o.o.
VANEČA,Prodaja,Počitniški objekt,Vikend,1983,1896.0,60.3,24900.0,"Nepremičnine Pomurje, IMERS Igor Meolic s.p."
VANEČA,Prodaja,Hiša,Samostojna,1995,2204.0,136.5,84000.0,FISA nepremičnine d.o.o.
VANEČA,Prodaja,Hiša,Samostojna,2011,5006.0,225.6,178900.0,"Nepremičnine Pomurje, IMERS Igor Meolic s.p."
VANGANEL,Prodaja,Hiša,Vrstna,1930,1042.0,110.0,170000.0,Urbanistika d.o.o.
VANGANEL,Prodaja,Hiša,Vrstna,1925,248.0,160.4,189000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Obala"
VANGANEL,Prodaja,Hiša,Samostojna,1980,836.0,191.0,465000.0,Dodoma d.o.o.
VANGANEL,Prodaja,Hiša,Dvojček,2002,1054.0,270.0,450000.0,"Premik nepremičnine, Magajna Ines s.p."
"VANGANEL, GUCI",Prodaja,Hiša,Dvojček,2018,377.0,180.0,270000.0,"Studium nepremičnine Goran Aščić, s.p."
"VANGANEL, GUCI",Prodaja,Hiša,Samostojna,1996,2183.0,344.0,358000.0,Zasebna ponudba
"VANGANEL, ZASELEK GUCI",Prodaja,Hiša,Vrstna,1922,10586.0,130.0,279000.0,"Gregorič - Istra, k.d."
VAREJA,Prodaja,Hiša,Samostojna,1990,2698.0,131.0,98100.0,"Nepremičninska družba d.o.o., PE RE/MAX Poetovio"
VARPOLJE,Prodaja,Hiša,Samostojna,1988,418.0,97.0,120000.0,"Janko nepremičnine, Ema Janko s.p."
"VARPOLJE, REČICA OB SAVINJI",Prodaja,Hiša,Samostojna,2010,1611.0,147.84,145000.0,Zasebna ponudba
"VARPOLJE, REČICA OB SAVINJI",Prodaja,Hiša,Samostojna,1979,666.0,160.0,125000.0,Hiša nepremičnin RE d.o.o.
VAŠE,Prodaja,Hiša,Samostojna,1969,321.0,200.0,260000.0,Mezanin nepremičnine d.o.o.
VAŠE,Prodaja,Hiša,Samostojna,2007,1300.0,240.0,400000.0,Zasebna ponudba
"VAŠE, OKOLICA",Prodaja,Hiša,Vrstna,2005,220.0,205.0,319000.0,"Stoja trade, d.o.o., Ljubljana"
VAVTA VAS,Prodaja,Hiša,Samostojna,1904,606.0,110.0,40000.0,Zasebna ponudba
VELENJE,Prodaja,Poslovni prostor,Prostor za storitve,1997,,26.7,24000.0,KREATIVDOM d.o.o.
VELENJE,Prodaja,Poslovni prostor,Prostor za storitve,1997,,26.7,28000.0,Roni nepremičnine d.o.o.
VELENJE,Prodaja,Stanovanje,garsonjera,1974,,28.0,55000.0,Zasebna ponudba
VELENJE,Prodaja,Stanovanje,dvosobno,2009,,54.4,88000.0,Zasebna ponudba
VELENJE,Prodaja,Poslovni prostor,Neživilska trgovina,1997,,63.78,75898.2,Dodoma d.o.o.
VELENJE,Prodaja,Stanovanje,dvosobno,1956,,65.2,76000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium"
VELENJE,Prodaja,Poslovni prostor,Pisarna,1997,,72.0,34000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium"
VELENJE,Prodaja,Stanovanje,trisobno,2015,,75.0,120000.0,Zasebna ponudba
VELENJE,Prodaja,Poslovni prostor,Prostor za storitve,2000,,75.25,39900.0,Bajtiga poslovanje z nepremičninami d.o.o.
VELENJE,Prodaja,Poslovni prostor,Neživilska trgovina,1997,,77.94,92748.6,Dodoma d.o.o.
VELENJE,Prodaja,Stanovanje,trisobno,1981,,87.9,128000.0,Mezanin nepremičnine d.o.o.
VELENJE,Prodaja,Stanovanje,dvosobno,1984,,89.0,90000.0,Mezanin nepremičnine d.o.o.
VELENJE,Prodaja,Poslovni prostor,Neživilska trgovina,1997,,90.27,107421.3,Dodoma d.o.o.
VELENJE,Prodaja,Poslovni prostor,Neživilska trgovina,1997,,99.8,800.0,Atrium nepremičnine d.o.o.
VELENJE,Prodaja,Poslovni prostor,Pisarna,1978,,114.2,98000.0,Bremis d.o.o.
VELENJE,Prodaja,Poslovni prostor,Neživilska trgovina,1997,,140.0,91000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium"
VELENJE,Prodaja,Hiša,Samostojna,2002,2425.0,460.0,320000.0,Zasebna ponudba
VELENJE,Prodaja,Poslovni prostor,Pisarna,1995,,532.0,290000.0,Heta Asset Resolution d.o.o.
VELENJE,Prodaja,Poslovni prostor,Neživilska trgovina,1997,,539.2,790.0,Dodoma d.o.o.
VELENJE,Prodaja,Poslovni prostor,Večji poslovni kompleks,1956,788.0,619.9,493000.0,"Era, d.o.o."
VELENJE,Prodaja,Poslovni prostor,Kombiniran prostor,2011,2770.0,1525.6,1400000.0,"C-nep agencija, d.o.o."
VELENJE,Prodaja,Poslovni prostor,Drugo,2011,,1525.62,1400000.0,ABC nepremičnine d.o.o.
VELENJE,Prodaja,Poslovni prostor,Večji poslovni kompleks,2011,2770.0,1660.3,1600000.0,Atrium nepremičnine d.o.o.
VELENJE,Prodaja,Poslovni prostor,Pisarna,1980,,2561.0,1990000.0,"DUTB, d.d."
"VELENJE, CENTER",Prodaja,Poslovni prostor,Prostor za storitve,1971,,28.6,25740.0,"DOMVEL, posredovanje nepremičnin, d.o.o."
"VELENJE, CENTER",Prodaja,Stanovanje,trisobno,1965,,70.7,93000.0,Bremis d.o.o.
"VELENJE, CENTER",Prodaja,Stanovanje,trisobno,2017,,72.0,105000.0,Zasebna ponudba
"VELENJE, CENTER",Prodaja,Stanovanje,štirisobno,1969,,82.4,95000.0,Zasebna ponudba
"VELENJE, CENTER",Prodaja,Poslovni prostor,Gostinski lokal,1997,,165.0,160000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium"
"VELENJE, CENTER STANDARD - ŠALEŠKA 2B",Prodaja,Stanovanje,trisobno,1974,,86.0,99000.0,Zasebna ponudba
"VELENJE, CENTER VELENJA",Prodaja,Stanovanje,dvosobno,1970,,50.0,62000.0,Zasebna ponudba
"VELENJE, CESTA TALCEV",Prodaja,Poslovni prostor,Prostor za storitve,1967,131.0,80.0,65000.0,HABIT d.o.o.
"VELENJE, CESTA V BEVČE",Prodaja,Hiša,Dvojček,2007,980.0,395.5,258000.0,HABIT d.o.o.
"VELENJE, CESTA X",Prodaja,Hiša,Samostojna,2002,730.0,63.0,82000.0,HABIT d.o.o.
"VELENJE, DESNI BREG",Prodaja,Stanovanje,štirisobno,2007,,154.0,200000.0,HABIT d.o.o.
"VELENJE, EFENKOVA CESTA",Prodaja,Poslovni prostor,Pisarna,1978,,114.2,80089.0,Bremis d.o.o.
"VELENJE, GORICA",Prodaja,Stanovanje,enosobno,1980,,38.5,53000.0,Zasebna ponudba
"VELENJE, GORICA",Prodaja,Stanovanje,trisobno,1981,,85.5,81000.0,Bremis d.o.o.
"VELENJE, GORICA",Prodaja,Stanovanje,trisobno,1980,,91.7,93000.0,Bremis d.o.o.
"VELENJE, GORICA",Prodaja,Hiša,Samostojna,1987,894.0,154.0,56000.0,Bremis d.o.o.
"VELENJE, GORICA",Prodaja,Hiša,Dvojček,2004,410.0,200.0,265000.0,Zasebna ponudba
"VELENJE, GORICA, GORISKA CESTA",Prodaja,Stanovanje,garsonjera,1976,,31.89,60000.0,Zasebna ponudba
"VELENJE, IZJEMNA PRILOŽNOST ZA INVESTITORJE",Prodaja,Poslovni prostor,Neživilska trgovina,1997,,768.36,979500.0,"Stoja trade, d.o.o., Ljubljana"
"VELENJE, KARDELJEV TRG",Prodaja,Stanovanje,trisobno,1981,,86.0,128000.0,Zasebna ponudba
"VELENJE, KIDRIČEVA CESTA 2B",Prodaja,Poslovni prostor,Neživilska trgovina,1997,,90.27,1190.0,S-Invest d.o.o.
"VELENJE, KIDRIČEVA CESTA 2B",Prodaja,Poslovni prostor,Neživilska trgovina,1997,,90.27,1190.0,S-Invest d.o.o.
"VELENJE, KIDRIČEVA CESTA 2B",Prodaja,Poslovni prostor,Neživilska trgovina,1997,,539.2,790.0,S-Invest d.o.o.
"VELENJE, KIDRIČEVA CESTA 2B",Prodaja,Poslovni prostor,Kombiniran prostor,1997,,624.3,272.3,S-Invest d.o.o.
"VELENJE, KIDRIČEVA CESTA 2B",Prodaja,Poslovni prostor,Kombiniran prostor,1997,,624.3,272.3,S-Invest d.o.o.
"VELENJE, KIDRIČEVA CESTA 2B",Prodaja,Poslovni prostor,Neživilska trgovina,1997,,1235.87,1350000.0,S-Invest d.o.o.
"VELENJE, KONOVO",Prodaja,Hiša,Samostojna,1994,1670.0,320.4,250000.0,HABIT d.o.o.
"VELENJE, KONOVO",Prodaja,Hiša,Samostojna,1994,1670.0,320.4,250000.0,Bremis d.o.o.
"VELENJE, KOROŠKA CESTA",Prodaja,Poslovni prostor,Pisarna,2003,,63.6,50000.0,HABIT d.o.o.
"VELENJE, KOSOVELOVA 2B",Prodaja,Stanovanje,trisobno,2011,,71.6,115000.0,"DOMVEL, posredovanje nepremičnin, d.o.o."
"VELENJE, KOSOVELOVA 4A",Prodaja,Stanovanje,trisobno,2018,30.0,61.5,113624.87,"DOMVEL, posredovanje nepremičnin, d.o.o."
"VELENJE, KOSOVELOVA 4A",Prodaja,Stanovanje,štirisobno,2018,39.0,97.6,169377.06,"DOMVEL, posredovanje nepremičnin, d.o.o."
"VELENJE, KOSOVELOVA 4A",Prodaja,Stanovanje,štirisobno,2018,,110.7,165038.4,"DOMVEL, posredovanje nepremičnin, d.o.o."
"VELENJE, KOSOVELOVA 4C",Prodaja,Stanovanje,trisobno,2018,21.0,67.6,115657.46,"DOMVEL, posredovanje nepremičnin, d.o.o."
"VELENJE, KOSOVELOVA 4C",Prodaja,Stanovanje,trisobno,2018,30.0,69.3,126241.73,"DOMVEL, posredovanje nepremičnin, d.o.o."
"VELENJE, KOSOVELOVA 4C",Prodaja,Stanovanje,štirisobno,2018,39.0,104.9,178623.52,"DOMVEL, posredovanje nepremičnin, d.o.o."
"VELENJE, KOSOVELOVA 4C",Prodaja,Stanovanje,štirisobno,2018,,114.2,170212.28,"DOMVEL, posredovanje nepremičnin, d.o.o."
"VELENJE, KOSOVELOVA ULICA 4C",Prodaja,Stanovanje,dvosobno,2018,,60.0,90000.0,Zasebna ponudba
"VELENJE, KS ŠMARNO",Prodaja,Hiša,Samostojna,1958,675.0,215.0,220000.0,HABIT d.o.o.
"VELENJE, KS ŠMARTNO",Prodaja,Hiša,Dvostanovanjska,1960,276.0,160.0,99990.0,Zasebna ponudba
"VELENJE, LEVI BREG",Prodaja,Poslovni prostor,Pisarna,2000,,75.75,45000.0,Zasebna ponudba
"VELENJE, LIPJE",Prodaja,Vikend,Zidan,2007,1879.0,18.0,55000.0,HABIT d.o.o.
"VELENJE, LJUBLJANSKA",Prodaja,Hiša,Samostojna,1999,1568.0,170.0,180000.0,HABIT d.o.o.
"VELENJE, LJUBLJANSKA ZA GRADOM",Prodaja,Hiša,Samostojna,2001,822.0,200.0,250000.0,HABIT d.o.o.
"VELENJE, NAKUPOVALNI CENTER",Prodaja,Poslovni prostor,Kombiniran prostor,1997,,50.5,45000.0,HABIT d.o.o.
"VELENJE, NAKUPOVALNI CENTER",Prodaja,Poslovni prostor,Prostor za storitve,1997,,91.3,54900.0,"DOMVEL, posredovanje nepremičnin, d.o.o."
"VELENJE, NAKUPOVALNI CENTER",Prodaja,Poslovni prostor,Drugo,1996,,110.0,130000.0,HABIT d.o.o.
"VELENJE, NAKUPOVALNI CENTER",Prodaja,Poslovni prostor,Neživilska trgovina,1997,,768.36,1440.0,REGROUP d.o.o.
"VELENJE, NASELJE GORICA",Prodaja,Stanovanje,trisobno,1978,,97.4,94000.0,Bremis d.o.o.
"VELENJE, NASELJE KONOVO",Prodaja,Hiša,Trojček,1978,644.0,275.0,199999.0,Zasebna ponudba
"VELENJE, OB ŠKALSKEM JEZERU",Prodaja,Poslovni prostor,Večji poslovni kompleks,2011,2638.0,1525.0,2000000.0,HABIT d.o.o.
"VELENJE, PESJE",Prodaja,Hiša,Samostojna,1964,991.0,240.0,170000.0,Zasebna ponudba
"VELENJE, PESJE",Prodaja,Hiša,Dvostanovanjska,1963,430.0,242.5,200000.0,"DOMVEL, posredovanje nepremičnin, d.o.o."
"VELENJE, PESJE",Prodaja,Hiša,Drugo,1988,1007.0,515.8,450000.0,Bremis d.o.o.
"VELENJE, PESJE",Prodaja,Hiša,Drugo,1990,1016.0,520.0,420000.0,HABIT d.o.o.
"VELENJE, PREŠERNOVA CESTA 22D",Prodaja,Poslovni prostor,Prostor za storitve,1974,,146.69,44900.0,"Premogovnik Velenje, d.o.o."
"VELENJE, SALESKA 19",Prodaja,Stanovanje,garsonjera,1972,,19.0,42000.0,Zasebna ponudba
"VELENJE, SELO PRI VELENJU",Prodaja,Stanovanje,enosobno,1970,,63.0,53000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium"
"VELENJE, STANTETOVA",Prodaja,Stanovanje,trisobno,2010,,86.4,87000.0,HABIT d.o.o.
"VELENJE, STANTETOVA ULICA",Prodaja,Stanovanje,dvoinpolsobno,1984,,77.0,92000.0,Zasebna ponudba
"VELENJE, STANTETOVA ULICA",Prodaja,Poslovni prostor,Gostinski lokal,1980,,102.0,69000.0,"Center nepremičnin, Geoprojekt, Geodetske storitve, projektiranje, inženiring, nepremičnine d.o.o."
"VELENJE, STANTETOVA ULICA 4",Prodaja,Stanovanje,trisobno,1986,,89.1,122000.0,Zasebna ponudba
"VELENJE, STARI TRG 35, 3320",Prodaja,Poslovni prostor,Pisarna,1995,,31.8,26000.0,Zasebna ponudba
"VELENJE, ŠALEK",Prodaja,Vikend,Drugo,1996,1224.0,28.0,40000.0,Bremis d.o.o.
"VELENJE, ŠALEK",Prodaja,Stanovanje,dvosobno,1987,,64.0,79500.0,Zasebna ponudba
"VELENJE, ŠALEK",Prodaja,Stanovanje,dvoinpolsobno,1986,,77.3,85000.0,Zasebna ponudba
"VELENJE, ŠALEK 101",Prodaja,Stanovanje,enosobno,2006,,66.0,81000.0,Zasebna ponudba
"VELENJE, ŠALEŠKA CESTA",Prodaja,Stanovanje,trisobno,1962,,76.0,81000.0,Zasebna ponudba
"VELENJE, ŠKALE",Prodaja,Poslovni prostor,Gostinski lokal,2002,2425.0,460.0,350000.0,"Nepremičninska družba, d.o.o., PE RE/MAX Premium"
"VELENJE, TOMŠIČEVA",Prodaja,Stanovanje,dvosobno,2014,,61.1,78000.0,HABIT d.o.o.
"VELENJE, TOMŠIČEVA CESTA 2",Prodaja,Stanovanje,dvosobno,1960,,61.1,56000.0,Slovenske železnice d.o.o.
"VELENJE, V VEČJEM TRGOVSKEM CENTRU",Prodaja,Poslovni prostor,Živilska trgovina,1997,,203.4,370.0,Roni nepremičnine d.o.o.
"VELENJE, V VEČJEM TRGOVSKEM CENTRU",Prodaja,Poslovni prostor,Neživilska trgovina,1997,,203.4,334.0,Roni nepremičnine d.o.o.
"VELENJE, ZA GRADOM",Prodaja,Hiša,Samostojna,1999,1568.0,170.0,180000.0,HABIT d.o.o.
VELIKA DOLINA,Prodaja,Hiša,Samostojna,1979,3268.0,274.5,43000.0,TA-BU nepremičnine d.o.o.
