ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija
"RUDNIK, TRNOVSKO PREDMESTJE",Prodaja,Hiša,Dvostanovanjska,2018,500.0,150.0,450000.0,Aion d.o.o.
SAVSKO NASELJE,Prodaja,Stanovanje,dvoinpolsobno,1946,,59.6,157000.0,Mreža nepremičnin d.o.o.
"SAVSKO NASELJE, OBNOVLJENO, DVIGALO, GARAZA",Prodaja,Stanovanje,trisobno,1959,,84.0,247000.0,Zasebna ponudba
"SEČOVLJE, BLIZU LETALIŠČA, MEJE",Prodaja,Hiša,Samostojna,1927,900.0,72.3,198000.0,Obala nepremičnine d.o.o.
SEŽANA,Prodaja,Hiša,Samostojna,1969,482.0,137.3,188000.0,Fin dom d.o.o.
SP. ŠIŠKA,Prodaja,Stanovanje,dvosobno,1962,,55.7,137000.0,Mreža nepremičnin d.o.o.
SP. ŠIŠKA,Prodaja,Stanovanje,trisobno,1943,,78.0,179000.0,Mreža nepremičnin d.o.o.
SPODNJE GAMELJNE,Prodaja,Stanovanje,štirisobno,2020,,307.0,395000.0,DARMAL d.o.o.
"SPODNJE GAMELJNE, ČUDOVITA DVOSTANOVANJSKA HIŠA S POGLEDOM N...",Prodaja,Hiša,Samostojna,1972,1241.0,360.0,695000.0,ABC nepremičnine d.o.o.
"SPODNJE RADVANJE, UL. EVE LOVŠE",Prodaja,Stanovanje,garsonjera,2010,125.0,43.4,84000.0,"INSA d.o.o., Europark Maribor"
"SPODNJI HOTIČ, LITIJA",Prodaja,Hiša,Samostojna,2017,758.0,183.0,216810.0,Premium nepremičnine d.o.o.
SREDNJE GAMELJNE,Prodaja,Hiša,Samostojna,1968,863.0,143.5,280000.0,"MP PROJEKT, d.o.o., PE Ljubljana"
STARI GRAD V PODBOČJU,Prodaja,Hiša,Samostojna,1980,2703.0,120.0,65000.0,"Šardi&Co. nepremičnine, družba za posredovanje v prometu z nepremičninami, d.o.o."
"ŠENTVID, PREGRAJENO V 4 - SOBNO",Prodaja,Stanovanje,trisobno,1990,,79.7,173000.0,ABC nepremičnine d.o.o.
ŠKOFLJICA,Prodaja,Hiša,Samostojna,1987,679.0,192.0,369000.0,MESTO NEPREMIČNIN d.o.o.
"ŠKOFLJICA, 1/A",Prodaja,Hiša,Dvojček,2019,225.0,164.38,229500.0,Anepremičnine d.o.o.
"ŠKOFLJICA, 3/B",Prodaja,Hiša,Dvojček,2019,225.0,158.74,238900.0,Anepremičnine d.o.o.
"ŠKOFLJICA, LAVRICA, NA KLJUČ",Prodaja,Hiša,Dvojček,2019,,116.0,275000.0,Studio modul d.o.o.
"ŠMARTNO OB SAVI, V NEPOSREDNI BLIŽINI BTC - JA",Prodaja,Hiša,Vrstna,2019,254.0,170.0,355000.0,Mauma M d.o.o.
TABOR,Prodaja,Hiša,Samostojna,2012,650.0,175.0,420000.0,Zasebna ponudba
TREBNJE,Prodaja,Hiša,Samostojna,2012,10371.0,120.0,229000.0,Mezanin nepremičnine d.o.o.
"TROJANE, BLIŽINA AC, 25 MIN DO LJ.",Prodaja,Stanovanje,dvosobno,1979,,62.7,79000.0,Premium nepremičnine d.o.o.
"TROJANE, OKOLICA IZLAKE",Prodaja,Stanovanje,štirisobno,1979,,108.2,135000.0,Premium nepremičnine d.o.o.
"TROJANE, POLŠINA, BLIŽINA AC",Prodaja,Hiša,Samostojna,1954,3643.0,95.0,68000.0,Premium nepremičnine d.o.o.
VELENJE,Prodaja,Poslovni prostor,Večji poslovni kompleks,2005,1577.0,4144.0,1980000.0,"DUTB, d.d."
"VELIKE MALENCE, 50",Prodaja,Hiša,Samostojna,2003,7309.0,415.53,299999.0,Zasebna ponudba
VELIKI GABER,Prodaja,Hiša,Samostojna,2019,522.0,240.0,295000.0,Soseska Gaber d.o.o.
VELIKI GABER,Prodaja,Hiša,Samostojna,2019,702.0,240.0,285000.0,Soseska Gaber d.o.o.
"VELIKI LOČNIK, VRH NAD ŽELIMLJAMI",Prodaja,Hiša,Samostojna,2019,610.0,221.84,228855.0,Premium nepremičnine d.o.o.
VERD,Prodaja,Poslovni prostor,Drugo,1980,3434.0,1802.0,1550000.0,ABC nepremičnine d.o.o.
VIPAVA,Prodaja,Stanovanje,dvosobno,1850,558.0,677.0,420000.0,"DUTB, d.d."
VIŽMARJE,Prodaja,Stanovanje,garsonjera,2020,,33.97,119223.0,Mreža nepremičnin d.o.o.
VIŽMARJE,Prodaja,Stanovanje,enosobno,2020,,43.48,138143.0,Mreža nepremičnin d.o.o.
VIŽMARJE,Prodaja,Poslovni prostor,Gostinski lokal,2019,84.0,80.14,158645.0,Mreža nepremičnin d.o.o.
"VNANJE GORICE, BREZOVICA PRI LJUBLJANI",Prodaja,Stanovanje,štirisobno,2010,,112.3,190000.0,Premium nepremičnine d.o.o.
"VODICE, NOVO NASELJE",Prodaja,Hiša,Samostojna,2019,619.0,158.0,490000.0,Jaris d.o.o.
"VOJNIK, CESTA TALCEV, OBJEKT 3",Prodaja,Hiša,Samostojna,2018,424.0,126.0,126500.0,"Biro nepremičnin, Darko Fir s.p."
"VRHNIKA, VRTNARIJA",Prodaja,Stanovanje,dvosobno,2000,,45.9,117000.0,MKA nepremičnine d.o.o.
VRTOJBA,Prodaja,Stanovanje,dvosobno,2012,10948.0,9614.75,4900000.0,"DUTB, d.d."
"ZAGORJE OB SAVI, CENTER MESTA",Prodaja,Poslovni prostor,Neživilska trgovina,1996,,38.6,950.0,"Tref, d.o.o."
ZALOG,Prodaja,Stanovanje,enosobno,2019,,57.83,156000.0,"GB nepremičnine, Goran Barišić s.p."
"ZAPLANA - DEL, IDILIČNA HIŠA V OBJEMU NARAVE Z BAZENOM",Prodaja,Hiša,Samostojna,1983,1000.0,141.0,195000.0,ABC nepremičnine d.o.o.
"ZBILJE, ENOTA B, BLIŽINA JEZERA 150M",Prodaja,Hiša,Dvojček,2019,310.0,210.5,189000.0,Equel d.o.o.
ZGORNJA KUNGOTA,Prodaja,Hiša,Samostojna,2016,524.0,196.9,295000.0,"RE/MAX Avenija, Nepremičnine Maribor d.o.o."
"ZGORNJA POLSKAVA, MARIBOR 15 MINUT",Prodaja,Hiša,Dvostanovanjska,2012,700.0,320.0,180000.0,Zasebna ponudba
ZGORNJE RADVANJE,Prodaja,Stanovanje,dvosobno,2002,,64.6,116000.0,Atrium nepremičnine d.o.o.
ZGORNJE RADVANJE,Prodaja,Počitniški objekt,Drugo,2008,18360.0,4871.0,3000000.0,"DUTB, d.d."
"ADLEŠIČI, PLEŠIVICA",Prodaja,Vikend,Zidan,1968,6000.0,70.0,28000.0,Zasebna ponudba
AJDOVŠČINA,Prodaja,Garaža,Vsi tipi,1995,,13.0,9600.0,Svet Real d.o.o.
AJDOVŠČINA,Prodaja,Stanovanje,garsonjera,1977,,28.0,65000.0,Zasebna ponudba
AJDOVŠČINA,Prodaja,Stanovanje,trisobno,2000,,58.6,109000.0,Svet Real d.o.o.
AJDOVŠČINA,Prodaja,Poslovni prostor,Pisarna,1972,,69.9,110000.0,Svet Real d.o.o.
AJDOVŠČINA,Prodaja,Stanovanje,trisobno,1982,,75.2,129000.0,Svet Real d.o.o.
AJDOVŠČINA,Prodaja,Poslovni prostor,Gostinski lokal,1968,,158.4,283000.0,Renes d.o.o.
AJDOVŠČINA,Prodaja,Hiša,Samostojna,2019,2914.0,180.0,245000.0,"Ruj nepremičnine, Jernej Suša, s.p."
AJDOVŠČINA,Prodaja,Hiša,Samostojna,1995,887.0,223.2,155000.0,EURO NINE d.o.o.
AJDOVŠČINA,Prodaja,Hiša,Samostojna,2014,1266.0,286.3,550000.0,Rocco nepremičnine d.o.o.
AJDOVŠČINA,Prodaja,Hiša,Atrijska,1878,41.0,360.0,150000.0,Svet Real d.o.o.
AJDOVŠČINA,Prodaja,Poslovni prostor,Večji poslovni kompleks,1912,965.0,1172.6,1600000.0,EURO NINE d.o.o.
AJDOVŠČINA,Prodaja,Poslovni prostor,Večji poslovni kompleks,2012,965.0,1172.6,1600000.0,Renes d.o.o.
"AJDOVŠČINA, BEVKOVA ULICA 6",Prodaja,Stanovanje,garsonjera,1982,,39.0,65000.0,Agencija Sončna hiša d.o.o.
"AJDOVŠČINA, BLIŽINA CENTRA",Prodaja,Hiša,Dvojček,2019,400.0,220.0,345000.0,Zasebna ponudba
"AJDOVŠČINA, CENTER",Prodaja,Stanovanje,dvosobno,1978,,54.0,113000.0,Zasebna ponudba
"AJDOVŠČINA, CENTER",Prodaja,Hiša,Vrstna,1975,85.0,90.0,142500.0,EURO NINE d.o.o.
"AJDOVŠČINA, CENTER MESTA",Prodaja,Garaža,Vsi tipi,1995,13.0,13.0,9200.0,Gaberit nepremičnine Matija Ceket s.p.
"AJDOVŠČINA, CENTER MESTA",Prodaja,Hiša,Vrstna,1750,113.0,200.0,190000.0,Gaberit nepremičnine Matija Ceket s.p.
"AJDOVŠČINA, PLAČE",Prodaja,Hiša,Samostojna,2019,820.0,171.2,215000.0,Zasebna ponudba
"AJDOVŠČINA, PREDMEJA",Prodaja,Hiša,Dvojček,1995,95.0,142.0,72500.0,EURO NINE d.o.o.
"AJDOVŠČINA, SOSESKA KRESNICE",Prodaja,Stanovanje,dvosobno,2009,,54.15,125000.0,Zasebna ponudba
"AJDOVŠČINA, ŠMARJE",Prodaja,Hiša,Samostojna,2003,252.0,223.0,249000.0,EURO NINE d.o.o.
"AJDOVŠČINA, TEVČE",Prodaja,Hiša,Samostojna,2007,2914.0,180.0,245000.0,Gaberit nepremičnine Matija Ceket s.p.
"AJDOVŠČINA, ŽAPUŽE",Prodaja,Hiša,Samostojna,1985,803.0,286.0,379000.0,EURO NINE d.o.o.
AJŠEVICA,Prodaja,Stanovanje,dvosobno,2019,,66.0,129300.0,"SolTerra, nepremičnine, d.o.o."
AJŠEVICA,Prodaja,Stanovanje,štirisobno,2019,,120.0,200000.0,"SolTerra, nepremičnine, d.o.o."
AMBROŽ POD KRVAVCEM,Prodaja,Stanovanje,garsonjera,1989,,25.0,55000.0,Mezanin nepremičnine d.o.o.
AMBROŽ POD KRVAVCEM,Prodaja,Stanovanje,dvosobno,1988,,48.0,115000.0,Mezanin nepremičnine d.o.o.
AMBROŽ POD KRVAVCEM,Prodaja,Vikend,Bivalen,2010,285.0,140.0,170000.0,MKA nepremičnine d.o.o.
AMBROŽ POD KRVAVCEM,Prodaja,Vikend,Bivalen,2010,285.0,140.0,130000.0,MKA nepremičnine d.o.o.
